序号,出发站,到达站,时间
280,兴隆湖,西博城,2026.04.17 19:21
281,前锋路,兴隆湖,2026.04.17 15:39
282,锦城湖,建设北路,2026.04.18 22:14
283,新南门,龙华寺,2026.04.18 20:06
284,双桥路,春熙路,2026.04.18 17:19
285,前锋路,省体育馆,2026.04.18 10:48
286,省体育馆,前锋路,2026.04.19 16:19
287,建设北路,双桥路,2026.04.19 09:55
288,西大街,建设北路,2026.04.21 13:20
289,建设北路,西大街,2026.04.21 12:20
290,春熙路,红星桥,2026.04.22 20:51
291,前锋路,春熙路,2026.04.22 18:25
292,孵化园,建设北路,2026.04.24 20:54
293,海昌路,孵化园,2026.04.24 19:38
294,建设北路,海昌路,2026.04.24 14:35
295,锦城广场东,建设北路,2026.04.25 22:17
296,西大街,九江北,2026.04.25 19:50
297,建设北路,西大街,2026.04.25 18:13
298,火车北站,建设北路,2026.04.25 16:35
299,建设北路,双桥路,2026.04.25 09:50
300,光华村,建设北路,2026.04.26 16:00
301,建设北路,双桥路,2026.04.26 09:54
302,西大街,踏水桥,2026.04.28 13:01
303,建设北路,西大街,2026.04.28 12:07
304,西博城,建设北路,2026.05.01 19:42
305,牛王庙,西博城,2026.05.01 12:06
306,西博城,火车南站,2026.05.02 18:50
307,火车南站,西博城,2026.05.02 15:31
308,西博城,火车南站,2026.05.04 20:46
309,火车南站,西博城,2026.05.04 15:50
310,春熙路,前锋路,2026.05.07 20:38
311,三圣花乡,建设北路,2026.05.08 21:15
312,建设北路,明蜀王陵,2026.05.08 19:40
313,省体育馆,前锋路,2026.05.10 15:06
314,前锋路,衣冠庙,2026.05.10 10:22
315,建设北路,梁家巷,2026.05.15 13:26
316,省体育馆,前锋路,2026.05.16 15:30
317,寺圣,芳草街,2026.05.16 12:35
318,前锋路,双流西站,2026.05.16 11:05
319,机车厂,建设北路,2026.05.17 20:09
320,高洪,建设北路,2026.05.20 21:41
321,春熙路,金华寺东路,2026.05.20 19:52
322,红星桥,春熙路,2026.05.20 17:46
323,孵化园,建设北路,2026.05.21 19:01
324,锦城广场,孵化园,2026.05.21 17:14
325,红星桥,锦城广场,2026.05.21 11:09
326,省体育馆,前锋路,2026.05.23 16:49
327,红星桥,省体育馆,2026.05.23 13:23
328,建设北路,太平园,2026.05.23 13:23
329,书房,界牌,2026.05.24 00:00
330,犀浦,茶店子客运站,2026.05.24 00:00
331,迎春桥,幸福桥,2026.05.24 00:00
332,石门坎,兴业北街,2026.05.24 00:00
333,桂龙路,东郊记忆,2026.05.24 00:00
334,五津,三瓦窑,2026.05.24 00:00
335,杉板桥,中和,2026.05.24 00:00
336,金石路,琉三路,2026.05.24 00:00
337,黄石,大丰,2026.05.24 00:00
338,九道堰,理工大学,2026.05.24 00:00
339,殷家林,草堂北路,2026.05.24 00:00
340,莲花,川大望江校区,2026.05.24 00:00
341,顺江路,西北桥,2026.05.24 00:00
342,迎晖路,东大路,2026.05.24 00:00
343,三河场,航都大街,2026.05.24 00:00
344,熊猫大道,驷马桥,2026.05.24 00:00
345,新津,文化宫,2026.05.24 00:00
346,三圣寺,鲤鱼湾,2026.05.24 00:00
347,双流广场,建设北路,2026.05.24 00:00
347,黄田坝,建设北路,2026.05.24 00:00
